playerID,matchNum,blocks,assists,minutesPlayed,pointsScored,passesMade
16,1,0,1,22,7,38
17,1,0,2,22,29,53
18,1,0,6,22,8,39
19,1,1,4,22,40,41
20,1,0,3,22,16,37
6,1,0,0,22,30,39
7,1,0,3,22,14,36
8,1,0,0,22,11,58
9,1,0,5,22,59,42
10,1,0,0,22,4,49
116,2,0,2,22,44,31
117,2,0,3,22,15,45
118,2,0,0,22,12,40
119,2,0,3,22,7,31
120,2,0,2,22,13,49
71,2,0,0,22,17,37
72,2,0,3,22,8,40
73,2,0,4,22,7,58
74,2,0,2,22,12,57
75,2,0,2,22,71,34
71,3,0,0,19,10,44
72,3,0,0,19,16,31
73,3,0,3,19,56,35
74,3,0,1,19,11,53
75,3,0,0,19,40,40
81,3,0,0,19,2,46
82,3,0,1,19,8,49
83,3,0,2,19,12,57
84,3,0,2,19,6,57
85,3,0,4,19,63,34
116,4,0,0,22,29,32
117,4,0,5,22,18,59
118,4,0,2,22,4,51
119,4,0,1,22,8,46
120,4,0,2,22,75,43
46,4,0,0,22,3,53
47,4,0,1,22,9,56
48,4,0,3,22,5,37
49,4,0,2,22,30,52
50,4,0,1,22,45,39
11,5,0,3,22,44,51
12,5,0,4,22,38,45
13,5,0,2,22,40,34
14,5,0,0,22,11,46
15,5,0,3,22,2,43
81,5,0,1,22,34,48
82,5,0,0,22,33,57
83,5,1,3,22,35,37
84,5,0,0,22,17,46
85,5,0,0,22,29,47
81,6,0,0,20,15,38
82,6,0,1,20,51,51
83,6,0,1,20,40,37
84,6,0,2,20,18,50
85,6,0,5,20,8,39
146,6,0,1,20,2,46
147,6,0,3,20,51,32
148,6,0,2,20,38,34
149,6,0,5,20,4,43
150,6,0,3,20,8,36
71,7,0,2,19,21,48
72,7,1,4,19,16,41
73,7,0,3,19,55,42
74,7,0,2,19,3,48
75,7,0,2,19,22,49
91,7,1,1,19,10,56
92,7,0,1,19,37,30
93,7,0,0,19,11,54
94,7,0,0,19,16,59
95,7,0,0,19,49,33
51,8,1,1,20,18,50
52,8,0,0,20,22,38
53,8,0,3,20,9,42
54,8,0,2,20,30,51
55,8,0,2,20,33,36
66,8,0,0,20,24,57
67,8,0,1,20,48,34
68,8,0,3,20,31,36
69,8,0,4,20,1,36
70,8,0,1,20,3,59
91,9,0,4,21,58,33
92,9,0,3,21,31,49
93,9,0,1,21,7,59
94,9,0,3,21,5,48
95,9,0,0,21,10,32
71,9,0,0,21,20,43
72,9,0,2,21,18,36
73,9,0,2,21,9,55
74,9,0,2,21,3,40
75,9,0,4,21,38,52
11,10,0,3,21,3,54
12,10,0,3,21,37,58
13,10,0,1,21,4,45
14,10,0,0,21,39,58
15,10,1,0,21,13,33
46,10,0,4,21,21,57
47,10,0,5,21,7,42
48,10,0,3,21,12,53
49,10,0,0,21,79,46
50,10,0,1,21,19,56
6,11,0,1,21,3,34
7,11,0,3,21,31,54
8,11,0,1,21,59,51
9,11,0,0,21,8,53
10,11,0,0,21,21,43
121,11,0,0,21,33,37
122,11,0,0,21,14,45
123,11,0,2,21,43,42
124,11,0,0,21,6,42
125,11,0,2,21,54,57
61,12,0,0,20,4,42
62,12,0,0,20,2,48
63,12,0,1,20,7,49
64,12,0,0,20,29,48
65,12,0,0,20,55,54
106,12,0,2,20,7,56
107,12,0,0,20,34,49
108,12,0,2,20,21,45
109,12,0,2,20,23,57
110,12,0,2,20,1,53
56,13,0,0,19,5,45
57,13,0,2,19,17,55
58,13,0,2,19,82,32
59,13,0,1,19,2,56
60,13,0,0,19,11,47
51,13,0,0,19,29,52
52,13,0,1,19,7,40
53,13,0,2,19,2,39
54,13,0,2,19,19,39
55,13,0,0,19,53,41
61,14,0,2,22,11,58
62,14,0,1,22,16,44
63,14,0,3,22,10,49
64,14,0,0,22,6,49
65,14,0,0,22,89,57
96,14,0,3,22,17,32
97,14,0,1,22,68,59
98,14,0,2,22,6,44
99,14,0,4,22,5,34
100,14,0,1,22,47,38
61,15,0,4,19,4,45
62,15,0,1,19,34,43
63,15,0,0,19,11,45
64,15,0,5,19,16,33
65,15,0,2,19,64,37
81,15,0,1,19,21,48
82,15,0,0,19,16,42
83,15,0,0,19,6,57
84,15,0,4,19,7,38
85,15,0,2,19,79,58
126,16,0,2,21,8,41
127,16,0,5,21,35,54
128,16,0,2,21,9,47
129,16,0,2,21,27,44
130,16,0,2,21,57,41
1,16,0,4,21,14,32
2,16,0,0,21,5,59
3,16,0,4,21,20,45
4,16,0,0,21,39,58
5,16,0,2,21,60,45
136,17,0,0,22,36,31
137,17,0,0,22,2,38
138,17,0,0,22,27,41
139,17,0,1,22,1,53
140,17,0,3,22,19,56
46,17,0,0,22,9,41
47,17,0,2,22,27,34
48,17,0,1,22,2,39
49,17,0,2,22,25,37
50,17,0,2,22,24,37
1,18,0,2,21,16,44
2,18,0,1,21,5,52
3,18,0,0,21,31,53
4,18,0,1,21,67,35
5,18,0,0,21,25,53
31,18,0,0,21,2,33
32,18,0,4,21,9,46
33,18,0,0,21,30,47
34,18,0,4,21,56,33
35,18,0,0,21,19,53
146,19,0,1,19,29,31
147,19,0,3,19,24,42
148,19,0,2,19,9,51
149,19,0,1,19,51,51
150,19,0,2,19,5,58
31,19,0,0,19,24,53
32,19,0,5,19,27,52
33,19,0,2,19,68,44
34,19,0,4,19,2,52
35,19,0,2,19,21,45
6,20,0,1,19,8,38
7,20,0,1,19,15,58
8,20,0,2,19,24,50
9,20,0,1,19,34,52
10,20,0,3,19,33,55
1,20,0,1,19,38,55
2,20,0,2,19,29,36
3,20,0,1,19,7,45
4,20,0,1,19,45,51
5,20,0,4,19,3,34
106,21,0,1,21,18,52
107,21,0,1,21,4,55
108,21,0,0,21,11,54
109,21,0,4,21,55,41
110,21,0,2,21,25,55
6,21,0,2,21,22,35
7,21,0,2,21,5,43
8,21,0,0,21,38,31
9,21,0,2,21,19,31
10,21,0,2,21,18,51
71,22,0,0,22,13,42
72,22,0,0,22,23,59
73,22,0,0,22,54,56
74,22,0,1,22,5,56
75,22,0,3,22,6,55
146,22,0,1,22,75,46
147,22,0,1,22,8,36
148,22,0,0,22,38,47
149,22,0,0,22,1,36
150,22,0,1,22,21,31
116,23,0,5,18,55,43
117,23,0,0,18,1,59
118,23,0,0,18,3,50
119,23,0,4,18,15,34
120,23,0,3,18,9,50
26,23,0,0,18,32,39
27,23,0,2,18,20,42
28,23,0,1,18,51,53
29,23,0,0,18,24,57
30,23,0,0,18,14,36
61,24,0,3,21,26,53
62,24,0,3,21,10,42
63,24,0,4,21,7,31
64,24,1,1,21,19,30
65,24,0,0,21,52,52
136,24,0,0,21,4,40
137,24,0,1,21,34,56
138,24,0,1,21,69,44
139,24,0,3,21,8,32
140,24,0,3,21,1,56
136,25,0,2,19,16,33
137,25,0,4,19,3,40
138,25,0,2,19,94,47
139,25,0,2,19,26,58
140,25,0,1,19,5,40
11,25,0,3,19,6,34
12,25,0,5,19,41,47
13,25,0,0,19,2,46
14,25,0,2,19,30,57
15,25,0,1,19,38,30
101,26,0,0,19,24,52
102,26,0,3,19,45,50
103,26,0,2,19,11,44
104,26,0,4,19,18,43
105,26,0,2,19,13,56
41,26,0,2,19,7,49
42,26,0,5,19,14,42
43,26,0,0,19,42,39
44,26,0,1,19,43,31
45,26,0,0,19,2,59
91,27,0,2,20,8,56
92,27,0,0,20,60,31
93,27,0,1,20,17,48
94,27,0,1,20,21,46
95,27,1,2,20,9,58
6,27,0,0,20,32,37
7,27,0,3,20,84,43
8,27,0,1,20,2,47
9,27,0,2,20,7,32
10,27,0,2,20,4,55
136,28,0,2,19,33,44
137,28,1,2,19,75,35
138,28,0,5,19,7,46
139,28,0,0,19,5,57
140,28,0,3,19,4,37
66,28,0,7,19,10,42
67,28,0,0,19,19,34
68,28,0,0,19,3,40
69,28,0,3,19,26,30
70,28,0,1,19,22,52
66,29,0,0,18,40,58
67,29,1,3,18,43,35
68,29,0,3,18,11,47
69,29,0,1,18,3,48
70,29,0,0,18,36,37
31,29,0,3,18,53,42
32,29,0,4,18,10,39
33,29,0,0,18,40,40
