playerID,matchNum,blocks,assists,minutesPlayed,pointsScored,passesMade
16,1,0,1,22,9,48
17,1,0,0,22,18,49
18,1,0,4,22,35,36
19,1,0,1,22,15,56
20,1,0,1,22,23,30
6,1,0,1,22,19,41
7,1,0,1,22,60,59
8,1,0,0,22,2,47
9,1,0,5,22,27,33
10,1,0,1,22,10,45
116,2,0,-1,22,17,44
117,2,0,1,22,35,39
118,2,0,4,22,1,59
119,2,0,1,22,10,43
120,2,0,2,22,28,34
71,2,0,2,22,15,43
72,2,0,1,22,5,40
73,2,0,2,22,4,48
74,2,0,0,22,35,50
75,2,0,5,22,56,42
71,3,0,3,19,27,45
72,3,0,4,19,17,59
73,3,0,4,19,2,52
74,3,0,0,19,47,42
75,3,0,2,19,40,52
81,3,0,1,19,9,38
82,3,0,-2,19,15,56
83,3,0,3,19,19,53
84,3,0,2,19,38,52
85,3,0,0,19,10,39
116,4,0,0,22,34,47
117,4,0,0,22,77,40
118,4,0,0,22,10,54
119,4,0,1,22,6,45
120,4,0,3,22,7,55
46,4,0,3,22,42,47
47,4,0,0,22,4,47
48,4,0,3,22,34,54
49,4,0,0,22,10,43
50,4,0,0,22,2,45
11,5,0,1,22,29,48
12,5,1,2,22,28,41
13,5,0,1,22,45,47
14,5,1,3,22,23,31
15,5,0,0,22,10,56
81,5,0,3,22,46,54
82,5,0,0,22,30,46
83,5,0,1,22,18,36
84,5,0,0,22,7,36
85,5,0,3,22,47,44
81,6,0,-1,20,79,51
82,6,0,2,20,5,59
83,6,0,1,20,17,35
84,6,0,2,20,4,49
85,6,0,5,20,27,50
146,6,1,1,20,28,55
147,6,0,2,20,53,59
148,6,0,0,20,1,53
149,6,0,0,20,5,37
150,6,0,1,20,16,47
71,7,0,3,19,5,45
72,7,0,2,19,33,45
73,7,0,2,19,11,56
74,7,0,4,19,40,52
75,7,1,1,19,28,34
91,7,0,1,19,21,42
92,7,0,1,19,2,31
93,7,0,7,19,27,38
94,7,1,2,19,40,58
95,7,0,0,19,33,50
51,8,0,0,20,16,59
52,8,0,3,20,54,35
53,8,0,3,20,18,38
54,8,0,2,20,15,50
55,8,0,2,20,9,44
66,8,0,1,20,3,53
67,8,0,5,20,39,56
68,8,0,0,20,4,53
69,8,0,0,20,34,36
70,8,0,2,20,27,48
91,9,0,1,21,17,59
92,9,0,0,21,11,30
93,9,0,3,21,8,52
94,9,1,1,21,21,51
95,9,0,1,21,54,55
71,9,0,3,21,28,43
72,9,0,2,21,5,50
73,9,0,-1,21,12,57
74,9,0,2,21,16,45
75,9,0,1,21,27,51
11,10,0,1,21,16,55
12,10,0,0,21,10,35
13,10,0,3,21,13,49
14,10,0,0,21,2,52
15,10,0,2,21,55,45
46,10,0,4,21,66,30
47,10,0,-1,21,29,38
48,10,0,2,21,27,52
49,10,0,3,21,4,43
50,10,0,0,21,12,39
6,11,0,3,21,27,36
7,11,0,2,21,64,58
8,11,0,3,21,19,57
9,11,0,4,21,3,47
10,11,0,2,21,9,52
121,11,0,0,21,56,51
